SPECIMEN	CC.Line	Generate	DOB	Sex	Label	Colour	WeekOld	Sample.	Resolution	Length	vBMD	Mean2	BMC	MaterProp	Dia.Dia	Med.Dia	Cort.Th	Po.V	Po.diam	Polar	Areal	MaterProp.1	BVTV	Conn.D	SMI	Tb.N3D	Tb.NPl	Tb.Th3D	Sp3D	Mean1	BVTVP	Conn.DP	SMIP	Tb.N3DP	Tb.Th3DP	Sp3DP	Mean1P	BVTVD	Conn.DD	SMID	Tb.N3DD	Tb.Th3DD	Sp3DD
CC#2126_20_F1_FEMUR	IL-2126	20	15/07/2013	F	A		8.6	679	150	14.71	503.1595	 1089.782	540.2625	 1089.782	1.575627069	1.120844649	0.2251	0	0.02	0.49193	0.33043	825.788	0.0655	36.9141	2.5372	2.8794	1.7759	0.0474	0.3459	52.4426	0.0096	0	3.8678	2.2609	0.0325	0.4385	5.5134	0.0987	58.818	2.2613	3.4667	0.0482	0.2844
CC#57_21_F1_FEMUR	IL-557	21	13/07/2013	F	B		8.9	680	150	14.19	620.5755	 1129.865	445.5576	 1129.865	1.395782681	0.900097247	0.245	0	    0.000	0.31679	0.23334	803.6871	0.0554	56.8558	2.9966	2.5546	1.4111	0.0509	0.4018	43.132	0.0044	-1.8302	3.7949	2.2834	0.0246	0.45	3.5384	0.0806	84.9209	2.7325	2.7415	0.0516	0.3747
CC#57_21_F2_FEMUR	IL-557	21	13/07/2013	F	B		8.9	681	150	14.1	616.7408	 1132.421	671.4575	 1132.421	1.39652593	0.905857286	0.2478	0	0.0185	0.31835	0.23949	835.4749	0.0513	38.8677	3.3919	3.0064	1.4307	0.0453	0.3344	43.3201	0.0087	-1.0453	3.9697	2.2074	0.0349	0.4516	10.0276	0.0717	56.9991	3.2672	3.4805	0.0459	0.2865
CC#4141_19_F3_FEMUR	IL-4141	19	11/07/2013	F	A		9.1	684	150	13.74	626.0537	 1169.581	493.5213	 1169.581	1.345603393	0.883716135	0.2263	0	    0.000	0.26505	0.20577	867.1685	0.0612	39.2965	3.0067	2.7065	1.6506	0.0499	0.3623	57.3331	0.0118	1.0945	3.3008	1.9116	0.0333	0.5101	16.2347	0.0864	57.1812	2.8636	3.0755	0.051	0.3236
CC#1061_20_F1_FEMUR	IL-1061	20	05/07/2013	F	A		10	685	150	15.35	685.3095	 1193.046	607.6939	 1193.046	1.413638897	0.885198893	0.2656	1E-04	0.0186	0.35373	0.25873	950.3058	0.0977	31.1473	2.3364	2.407	1.894	0.0688	0.4166	95.7981	0.0329	0	3.5013	2.275	0.0707	0.4448	47.3641	0.1247	44.1198	2.1699	2.7014	0.0684	0.3668
CC#1912_21_M1_FEMUR	IL-1912	21	25/04/2013	M	A		10.7	570	150	13.44	640.14	 1161.064	601.863	 1161.064	1.581044044	1.022986337	0.2738	0	0.02	0.54208	0.3503	812.4334	0.1279	108.3193	1.7748	2.6063	2.9774	0.0539	0.3998	94.9517	0.0335	15.422	2.4972	1.6573	0.0516	0.6133	15.1061	0.1795	156.6124	1.6915	3.862	0.0541	0.261
CC#1912_21_M2_FEMUR	IL-1912	21	25/04/2013	M	A		10.7	571	150	13.43	673.6206	 1200.281	593.0226	 1200.281	1.517445546	0.968120392	0.2774	0	    0.000	0.47847	0.3388	849.5818	0.1365	96.4091	1.4891	2.3585	3.0316	0.0543	0.4395	108.5885	0.0349	5.977	1.9777	1.3557	0.0508	0.7418	25.6393	0.1871	138.4934	1.4605	3.6812	0.0545	0.2712
CC#1912_21_M3_FEMUR	IL-1912	21	25/04/2013	M	A		10.7	572	150	14.03	494.2119	 1048.057	656.6922	 1048.057	1.240868263	0.863840398	0.1867	0	    0.000	0.18399	0.15192	767.103	0.1306	202.5703	2.2874	4.6453	3.8883	0.0423	0.2106	101.0647	0.0634	62.4741	3.2188	3.8329	0.0374	0.2588	52.1605	0.1636	263.9313	1.9889	5.203	0.0431	0.1848
CC#2680_M2_FEMUR	IL-2680	19	28/04/2013	M	A		10.3	573	150	14.91	556.298	 1099.095	606.7535	 1099.095	1.408323886	0.950146182	0.2245	0	    0.000	0.32615	0.25127	783.7492	0.0833	108.5448	2.51	3.3595	2.5039	0.0411	0.3012	63.6342	0.0105	1.1579	3.8219	2.3228	0.029	0.4335	6.736	0.1151	154.8598	2.3252	4.1983	0.0416	0.236
CC#2680_M3_FEMUR	IL-2680	19	28/04/2013	M	A		10.3	574	150	14.95	485.7206	 1070.061	538.6637	 1070.061	1.298185397	0.921174917	0.1823	0	    0.000	0.22189	0.17439	769.8303	0.0175	20.5793	3.2076	1.8395	0.5803	0.0369	0.5191	-1.0699	0.002	-4.6612	3.5731	1.6734	0.0219	0.5977	-5.302	0.0236	28.6543	3.0631	1.9184	0.0374	0.4815
CC#211_M1_FEMUR	IL-711	30	30/04/2013	M	B		10	575	150	15.47	653.6273	 1093.800	551.1719	 1093.800	1.425942714	0.86784756	0.2774	0	    0.000	0.36659	0.26476	831.2427	0.1275	93.9514	1.4197	2.1416	2.7551	0.0563	0.5078	104.0742	0.0037	-1.0385	5.0974	1.1777	0.0407	0.8719	3.2562	0.1901	141.4946	1.3225	3.656	0.0565	0.2802
CC#4141_19_M1_FEMUR	IL-4141	19	04/07/2013	M	A		10.1	641	150	13.71	627.9711	 1170.860	608.6344	 1170.860	1.445105292	0.954838158	0.2414	0	    0.000	0.35647	0.26411	844.8796	0.172	199.2892	1.9196	4.2339	4.173	0.0527	0.2277	148.1821	0.0773	82.0893	2.8433	3.4699	0.0448	0.285	76.8948	0.2204	248.7333	1.5734	4.8112	0.054	0.1942
CC#211_31_F1_FEMUR	IL-711	31	04/07/2013	F	B		11.1	642	150	13.71	728.0394	 1181.542	608.6344	 1181.542	1.324373009	0.786197729	0.2659	0	    0.000	0.27125	0.20727	906.9503	0.1306	88.878	2.0412	3.111	2.6216	0.0649	0.3286	126.3633	0.012	-2.7637	4.5133	2.3084	0.0566	0.4394	29.025	0.1899	133.3889	1.8182	3.6163	0.0652	0.2743
CC#211_F1_FEMUR	IL-711	30	07/03/2013	F	B		10.3	454	150	14.66	563.1158	 1144.794	584.8406	 1144.794	1.394509575	0.959719483	0.2109	0	    0.000	0.29346	0.21231	-	0.1118	79.9398	2.5894	3.2768	2.6447	0.0533	0.3068	NA	0.1118	79.9398	2.5894	3.2768	0.0533	0.3068	NA	0.1118	79.9398	2.5894	3.2768	0.0533	0.3068
CC#2680_19_F1_FEMUR	IL-2680	19	12/03/2013	F	A		9.6	455	150	13.79	567.8182	 1138.211	591.0477	 1138.211	1.312145359	0.893139019	0.202	0	    0.000	0.24452	0.19263	-	0.0531	43.8273	3.111	3.2427	1.7545	0.0377	0.3064	NA	0.0531	43.8273	3.111	3.2427	0.0377	0.3064	NA	0.0531	43.8273	3.111	3.2427	0.0377	0.3064
CC#2680_19_F2_FEMUR	IL-2680	19	12/03/2013	F	A		9.6	456	150	14.33	551.7361	 1188.526	659.9838	 1188.526	1.373502131	0.967883633	0.1963	0	    0.000	0.27458	0.20476	802.5585	0.0487	46.9229	3.0693	2.693	1.5769	0.0405	0.3666	32.5988	0.0134	9.6972	3.1751	1.7964	0.0312	0.5384	7.5824	0.0651	68.6392	2.9711	3.4121	0.0415	0.2924
CC#2680_19_M1_FEMUR	IL-2680	19	12/03/2013	M	A		9.6	457	150	14.38	625.0925	 1203.009	609.1987	 1203.009	1.205719473	0.798594362	0.199	0	    0.000	0.17307	0.15108	778.2945	0.0555	78.9733	2.9191	2.9922	1.8397	0.0393	0.3342	41.063	0.0242	17.4033	3.0044	2.3373	0.036	0.4305	20.0906	0.0687	103.8162	2.8879	3.5481	0.0398	0.2812
CC#188_29_F1_FEMUR	IL-188	29	11/03/2013	F	A		9.7	458	150	15.67	678.8872	 1200.469	547.7862	 1200.469	1.329463403	0.842665826	0.2422	0	    0.000	0.26124	0.19917	-	0.1064	83.3347	2.0109	2.1016	2.4034	0.0533	0.5004	NA	0.1064	83.3347	2.0109	2.1016	0.0533	0.5004	NA	0.1064	83.3347	2.0109	2.1016	0.0533	0.5004
CC#1156_M1_FEMUR	IL-1156	13	11/03/2013	M	A		9.7	459	150	14.95	673.9028	 1127.771	513.9294	 1127.771	1.358865575	0.821286419	0.2436	0.0008	0.0414	0.29929	0.24315	801.0538	0.157	140.2399	1.7139	3.663	3.3755	0.0554	0.2832	128.9025	0.0072	-4.0193	3.7966	2.4254	0.0277	0.4142	12.0026	0.2163	195.7753	1.4763	4.5395	0.0558	0.2224
CC#1156_M2_FEMUR	IL-1156	13	11/03/2013	M	A		9.7	460	150	14.95	643.4316	 1161.346	513.9294	 1161.346	1.434644366	0.921458222	0.2522	0.0003	0.035	0.35735	0.26287	813.0917	0.16	136.0583	1.3801	3.163	3.3037	0.0573	0.3324	126.5514	0.0176	6.78	4.208	2.0413	0.0444	0.4872	14.7299	0.2358	204.3851	1.1087	4.4733	0.0578	0.2267
CC#2438_F1_FEMUR	IL-2438	11	11/03/2013	F	A		9.7	462	150	15.35	558.6956	 1107.081	520.5985	 1107.081	1.304305774	0.881407874	0.2063	0	    0.010	0.23414	0.18697	822.2143	0.2328	186.5265	1.4474	4.7425	4.9249	0.0578	0.1985	189.4686	0.1436	113.4471	2.2731	4.0877	0.0533	0.2353	120.3443	0.2752	216.9481	1.1282	5.158	0.0588	0.1797
